Tempo Decorrido,Ocupacao
12200.000000,0.86
12300.000000,0.86
12400.000000,0.86
12500.000000,0.86
12600.000000,0.86
12700.000000,0.86
12800.000000,0.85
12900.000000,0.85
13000.000000,0.85
13100.000000,0.85
13200.000000,0.85
13300.000000,0.85
13400.000000,0.85
13500.000000,0.85
13600.000000,0.85
13700.000000,0.85
13800.000000,0.85
13900.000000,0.85
14000.000000,0.85
14100.000000,0.85
14200.000000,0.85
14300.000000,0.86
14400.000000,0.86
14500.000000,0.86
14600.000000,0.86
14700.000000,0.86
14800.000000,0.86
14900.000000,0.86
15000.000000,0.86
15100.000000,0.86
15200.000000,0.86
15300.000000,0.86
15400.000000,0.85
15500.000000,0.85
15600.000000,0.85
15700.000000,0.85
15800.000000,0.85
15900.000000,0.85
16000.000000,0.85
16100.000000,0.85
16200.000000,0.85
16300.000000,0.85
16400.000000,0.85
16500.000000,0.85
16600.000000,0.85
16700.000000,0.85
16800.000000,0.85
16900.000000,0.85
17000.000000,0.85
17100.000000,0.85
17200.000000,0.85
17300.000000,0.85
17400.000000,0.85
17500.000000,0.86
17600.000000,0.86
17700.000000,0.85
17800.000000,0.85
17900.000000,0.85
18000.000000,0.85
18100.000000,0.85
18200.000000,0.85
18300.000000,0.86
18400.000000,0.85
18500.000000,0.85
18600.000000,0.85
18700.000000,0.85
18800.000000,0.86
18900.000000,0.85
19000.000000,0.85
19100.000000,0.85
19200.000000,0.85
19300.000000,0.85
19400.000000,0.85
19500.000000,0.85
19600.000000,0.85
19700.000000,0.85
19800.000000,0.85
19900.000000,0.85
20000.000000,0.85
20100.000000,0.85
20200.000000,0.85
20300.000000,0.85
20400.000000,0.85
20500.000000,0.85
20600.000000,0.85
20700.000000,0.85
20800.000000,0.85
20900.000000,0.85
21000.000000,0.85
21100.000000,0.85
21200.000000,0.85
21300.000000,0.85
21400.000000,0.85
21500.000000,0.85
21600.000000,0.85
21700.000000,0.85
21800.000000,0.85
21900.000000,0.85
22000.000000,0.85
22100.000000,0.85
22200.000000,0.85
22300.000000,0.85
22400.000000,0.85
22500.000000,0.85
22600.000000,0.85
22700.000000,0.85
22800.000000,0.85
22900.000000,0.85
23000.000000,0.85
23100.000000,0.85
23200.000000,0.85
23300.000000,0.85
23400.000000,0.85
23500.000000,0.85
23600.000000,0.85
23700.000000,0.85
23800.000000,0.85
23900.000000,0.85
24000.000000,0.85
24100.000000,0.85
24200.000000,0.85
24300.000000,0.85
