Tempo Decorrido,E[N]
38900.000000,8.95
39000.000000,8.94
39100.000000,8.94
39200.000000,8.93
39300.000000,8.93
39400.000000,8.92
39500.000000,8.92
39600.000000,8.92
39700.000000,8.90
39800.000000,8.89
39900.000000,8.88
40000.000000,8.87
40100.000000,8.88
40200.000000,8.87
40300.000000,8.86
40400.000000,8.86
40500.000000,8.85
40600.000000,8.84
40700.000000,8.84
40800.000000,8.83
40900.000000,8.83
41000.000000,8.83
41100.000000,8.82
41200.000000,8.80
41300.000000,8.80
41400.000000,8.79
41500.000000,8.79
41600.000000,8.78
41700.000000,8.79
41800.000000,8.80
41900.000000,8.80
42000.000000,8.80
42100.000000,8.81
42200.000000,8.80
42300.000000,8.79
42400.000000,8.79
42500.000000,8.78
42600.000000,8.77
42700.000000,8.77
42800.000000,8.77
42900.000000,8.79
43000.000000,8.78
43100.000000,8.80
43200.000000,8.80
43300.000000,8.81
43400.000000,8.81
43500.000000,8.80
43600.000000,8.79
43700.000000,8.79
43800.000000,8.81
43900.000000,8.80
44000.000000,8.81
44100.000000,8.83
44200.000000,8.83
44300.000000,8.82
44400.000000,8.81
44500.000000,8.80
44600.000000,8.80
44700.000000,8.80
44800.000000,8.80
44900.000000,8.80
45000.000000,8.80
45100.000000,8.80
45200.000000,8.80
45300.000000,8.79
45400.000000,8.79
45500.000000,8.78
45600.000000,8.78
45700.000000,8.78
45800.000000,8.78
45900.000000,8.80
46000.000000,8.80
46100.000000,8.89
46200.000000,8.91
46300.000000,8.93
46400.000000,8.92
46500.000000,8.92
46600.000000,8.93
46700.000000,8.94
46800.000000,8.93
46900.000000,8.94
47000.000000,8.95
47100.000000,8.99
47200.000000,8.98
47300.000000,9.05
47400.000000,9.04
47500.000000,9.06
47600.000000,9.08
47700.000000,9.07
47800.000000,9.07
47900.000000,9.05
48000.000000,9.04
48100.000000,9.03
48200.000000,9.02
48300.000000,9.02
48400.000000,9.01
48500.000000,9.01
48600.000000,8.99
48700.000000,8.99
48800.000000,8.99
48900.000000,8.98
49000.000000,8.97
49100.000000,8.96
49200.000000,8.96
49300.000000,8.95
49400.000000,8.97
49500.000000,8.98
49600.000000,8.96
49700.000000,8.96
49800.000000,8.96
49900.000000,8.95
50000.000000,8.94
50100.000000,8.94
50200.000000,8.95
50300.000000,8.95
50400.000000,8.94
50500.000000,8.94
50600.000000,8.97
50700.000000,8.98
50800.000000,8.98
50900.000000,8.99
51000.000000,8.99
51100.000000,8.99
51200.000000,8.99
51300.000000,8.99
51400.000000,8.98
51500.000000,8.98
51600.000000,8.97
51700.000000,8.96
51800.000000,8.96
51900.000000,8.99
52000.000000,9.00
52100.000000,9.01
52200.000000,9.00
52300.000000,8.99
52400.000000,8.99
52500.000000,9.04
52600.000000,9.04
52700.000000,9.05
52800.000000,9.05
52900.000000,9.03
53000.000000,9.04
53100.000000,9.03
53200.000000,9.02
53300.000000,9.01
53400.000000,9.00
53500.000000,9.00
53600.000000,9.00
53700.000000,8.99
53800.000000,8.99
53900.000000,9.00
54000.000000,8.99
54100.000000,8.98
54200.000000,8.98
54300.000000,8.97
54400.000000,8.98
54500.000000,8.98
54600.000000,8.97
54700.000000,8.97
54800.000000,8.97
54900.000000,8.97
55000.000000,8.96
55100.000000,8.96
55200.000000,8.95
55300.000000,8.94
55400.000000,8.96
55500.000000,8.95
55600.000000,8.94
55700.000000,8.94
55800.000000,8.93
55900.000000,8.93
56000.000000,8.92
56100.000000,8.91
56200.000000,8.90
56300.000000,8.89
56400.000000,8.89
56500.000000,8.89
56600.000000,8.88
56700.000000,8.87
56800.000000,8.86
56900.000000,8.86
57000.000000,8.86
57100.000000,8.86
57200.000000,8.86
57300.000000,8.85
57400.000000,8.85
57500.000000,8.84
57600.000000,8.83
57700.000000,8.83
57800.000000,8.83
57900.000000,8.83
58000.000000,8.83
58100.000000,8.82
58200.000000,8.81
58300.000000,8.81
58400.000000,8.80
58500.000000,8.79
58600.000000,8.79
58700.000000,8.79
58800.000000,8.80
58900.000000,8.79
59000.000000,8.78
59100.000000,8.78
59200.000000,8.77
59300.000000,8.77
59400.000000,8.78
59500.000000,8.78
59600.000000,8.78
59700.000000,8.78
59800.000000,8.80
59900.000000,8.80
60000.000000,8.79
60100.000000,8.79
60200.000000,8.79
60300.000000,8.78
60400.000000,8.78
60500.000000,8.78
60600.000000,8.77
60700.000000,8.77
60800.000000,8.78
60900.000000,8.77
61000.000000,8.77
61100.000000,8.77
61200.000000,8.76
61300.000000,8.77
61400.000000,8.77
61500.000000,8.77
61600.000000,8.77
61700.000000,8.77
61800.000000,8.77
61900.000000,8.77
62000.000000,8.77
62100.000000,8.76
62200.000000,8.77
