Tempo Decorrido,E[W]
21400.000000,9.95
21500.000000,10.02
21600.000000,10.06
21700.000000,10.08
21800.000000,10.09
21900.000000,10.05
22000.000000,10.03
22100.000000,10.01
22200.000000,9.99
22300.000000,10.01
22400.000000,10.02
22500.000000,10.03
22600.000000,10.05
22700.000000,10.04
22800.000000,10.05
22900.000000,10.03
23000.000000,10.00
23100.000000,9.97
23200.000000,9.93
23300.000000,9.93
23400.000000,9.94
23500.000000,9.92
23600.000000,9.91
23700.000000,9.91
23800.000000,9.89
23900.000000,9.85
24000.000000,9.82
24100.000000,9.79
24200.000000,9.77
24300.000000,9.77
24400.000000,9.80
24500.000000,9.80
24600.000000,9.81
24700.000000,9.86
24800.000000,9.91
24900.000000,9.97
25000.000000,9.99
25100.000000,10.00
25200.000000,10.03
25300.000000,10.04
25400.000000,10.02
25500.000000,10.01
25600.000000,9.98
25700.000000,9.96
25800.000000,9.92
25900.000000,9.90
26000.000000,9.88
26100.000000,9.86
26200.000000,9.85
26300.000000,9.85
26400.000000,9.83
26500.000000,9.83
26600.000000,9.81
26700.000000,9.80
26800.000000,9.77
26900.000000,9.74
27000.000000,9.73
27100.000000,9.72
27200.000000,9.69
27300.000000,9.71
27400.000000,9.72
27500.000000,9.70
27600.000000,9.68
27700.000000,9.66
27800.000000,9.63
27900.000000,9.61
28000.000000,9.60
28100.000000,9.60
28200.000000,9.61
28300.000000,9.65
28400.000000,9.67
28500.000000,9.66
28600.000000,9.63
28700.000000,9.61
28800.000000,9.60
28900.000000,9.59
29000.000000,9.61
29100.000000,9.62
29200.000000,9.60
29300.000000,9.59
29400.000000,9.59
29500.000000,9.57
29600.000000,9.57
29700.000000,9.56
29800.000000,9.54
29900.000000,9.52
30000.000000,9.54
30100.000000,9.57
30200.000000,9.61
30300.000000,9.66
30400.000000,9.70
30500.000000,9.72
30600.000000,9.74
30700.000000,9.74
30800.000000,9.71
30900.000000,9.68
31000.000000,9.67
31100.000000,9.64
31200.000000,9.62
31300.000000,9.62
31400.000000,9.64
31500.000000,9.66
31600.000000,9.68
31700.000000,9.72
31800.000000,9.73
31900.000000,9.74
32000.000000,9.74
32100.000000,9.72
32200.000000,9.70
32300.000000,9.70
32400.000000,9.71
32500.000000,9.72
32600.000000,9.71
32700.000000,9.70
32800.000000,9.69
32900.000000,9.71
33000.000000,9.74
33100.000000,9.77
33200.000000,9.80
33300.000000,9.81
33400.000000,9.82
33500.000000,9.85
33600.000000,9.90
33700.000000,9.98
33800.000000,10.02
33900.000000,10.03
34000.000000,10.04
34100.000000,10.06
34200.000000,10.08
34300.000000,10.15
34400.000000,10.22
34500.000000,10.28
34600.000000,10.35
34700.000000,10.44
34800.000000,10.54
34900.000000,10.62
35000.000000,10.70
35100.000000,10.76
35200.000000,10.82
35300.000000,10.88
35400.000000,10.93
35500.000000,10.97
35600.000000,11.01
35700.000000,11.04
35800.000000,11.05
35900.000000,11.08
36000.000000,11.12
36100.000000,11.17
36200.000000,11.21
36300.000000,11.27
36400.000000,11.35
36500.000000,11.43
36600.000000,11.53
36700.000000,11.64
36800.000000,11.73
36900.000000,11.80
37000.000000,11.86
37100.000000,11.90
37200.000000,11.94
37300.000000,11.98
37400.000000,12.03
37500.000000,12.09
37600.000000,12.15
37700.000000,12.22
37800.000000,12.31
37900.000000,12.42
38000.000000,12.53
38100.000000,12.63
38200.000000,12.73
38300.000000,12.85
38400.000000,12.98
38500.000000,13.13
38600.000000,13.29
38700.000000,13.44
38800.000000,13.57
38900.000000,13.70
39000.000000,13.84
39100.000000,13.99
39200.000000,14.14
39300.000000,14.29
39400.000000,14.46
39500.000000,14.60
39600.000000,14.75
39700.000000,14.91
39800.000000,15.05
39900.000000,15.20
40000.000000,15.34
40100.000000,15.48
40200.000000,15.60
40300.000000,15.73
40400.000000,15.88
40500.000000,16.02
40600.000000,16.18
40700.000000,16.34
40800.000000,16.50
40900.000000,16.62
41000.000000,16.75
41100.000000,16.86
41200.000000,16.96
41300.000000,17.05
41400.000000,17.14
41500.000000,17.24
41600.000000,17.34
41700.000000,17.46
41800.000000,17.59
41900.000000,17.73
42000.000000,17.85
42100.000000,17.96
42200.000000,18.07
42300.000000,18.18
42400.000000,18.26
42500.000000,18.33
42600.000000,18.39
42700.000000,18.45
42800.000000,18.49
42900.000000,18.51
43000.000000,18.53
43100.000000,18.53
43200.000000,18.53
43300.000000,18.51
43400.000000,18.51
