Tempo Decorrido,Lambda
27300.000000,5.02
27400.000000,5.02
27500.000000,5.02
27600.000000,5.02
27700.000000,5.02
27800.000000,5.02
27900.000000,5.02
28000.000000,5.02
28100.000000,5.02
28200.000000,5.02
28300.000000,5.02
28400.000000,5.02
28500.000000,5.02
28600.000000,5.02
28700.000000,5.02
28800.000000,5.02
28900.000000,5.02
29000.000000,5.02
29100.000000,5.02
29200.000000,5.02
29300.000000,5.02
29400.000000,5.02
29500.000000,5.02
29600.000000,5.02
29700.000000,5.02
29800.000000,5.02
29900.000000,5.02
30000.000000,5.02
30100.000000,5.02
30200.000000,5.02
30300.000000,5.02
30400.000000,5.02
30500.000000,5.02
30600.000000,5.02
30700.000000,5.02
30800.000000,5.02
30900.000000,5.02
31000.000000,5.02
31100.000000,5.02
31200.000000,5.02
31300.000000,5.02
31400.000000,5.02
31500.000000,5.02
31600.000000,5.02
31700.000000,5.02
31800.000000,5.02
31900.000000,5.02
32000.000000,5.02
32100.000000,5.02
32200.000000,5.02
32300.000000,5.02
32400.000000,5.02
32500.000000,5.02
32600.000000,5.02
32700.000000,5.02
32800.000000,5.02
32900.000000,5.02
33000.000000,5.02
33100.000000,5.02
33200.000000,5.02
33300.000000,5.02
33400.000000,5.02
33500.000000,5.02
33600.000000,5.02
33700.000000,5.02
33800.000000,5.02
33900.000000,5.02
34000.000000,5.02
34100.000000,5.02
34200.000000,5.02
34300.000000,5.02
34400.000000,5.02
34500.000000,5.02
34600.000000,5.02
34700.000000,5.02
34800.000000,5.02
34900.000000,5.02
35000.000000,5.02
35100.000000,5.02
35200.000000,5.02
35300.000000,5.01
35400.000000,5.01
35500.000000,5.01
35600.000000,5.01
35700.000000,5.01
35800.000000,5.01
35900.000000,5.01
36000.000000,5.01
36100.000000,5.01
36200.000000,5.01
36300.000000,5.01
36400.000000,5.01
36500.000000,5.01
36600.000000,5.01
36700.000000,5.02
36800.000000,5.01
36900.000000,5.01
37000.000000,5.01
37100.000000,5.01
37200.000000,5.01
37300.000000,5.01
37400.000000,5.01
37500.000000,5.01
37600.000000,5.01
37700.000000,5.01
37800.000000,5.01
37900.000000,5.01
38000.000000,5.01
38100.000000,5.01
38200.000000,5.01
38300.000000,5.01
38400.000000,5.01
38500.000000,5.01
38600.000000,5.01
38700.000000,5.01
38800.000000,5.01
38900.000000,5.01
39000.000000,5.01
39100.000000,5.01
39200.000000,5.01
39300.000000,5.01
39400.000000,5.01
39500.000000,5.01
39600.000000,5.01
39700.000000,5.01
39800.000000,5.01
39900.000000,5.01
40000.000000,5.01
40100.000000,5.01
40200.000000,5.01
40300.000000,5.01
40400.000000,5.01
40500.000000,5.01
40600.000000,5.01
40700.000000,5.01
40800.000000,5.01
40900.000000,5.01
41000.000000,5.01
41100.000000,5.01
41200.000000,5.01
41300.000000,5.01
41400.000000,5.01
41500.000000,5.01
41600.000000,5.01
41700.000000,5.01
41800.000000,5.01
41900.000000,5.01
42000.000000,5.01
42100.000000,5.01
42200.000000,5.01
42300.000000,5.01
42400.000000,5.01
42500.000000,5.01
42600.000000,5.01
42700.000000,5.01
42800.000000,5.01
42900.000000,5.01
43000.000000,5.01
43100.000000,5.01
43200.000000,5.01
43300.000000,5.01
43400.000000,5.01
43500.000000,5.01
